Joint_3,Joint_2,Joint_1,time
0.00,0.00,0.00,1563.48
0.00,0.00,0.00,1563.51
0.00,0.00,0.00,1563.54
0.00,0.00,0.00,1563.58
0.00,0.00,0.00,1563.61
0.00,0.00,0.00,1563.64
0.00,0.00,0.00,1563.67
0.00,0.00,0.00,1563.71
0.00,0.00,0.00,1563.74
0.00,0.00,0.00,1563.77
0.00,0.00,0.00,1563.81
0.00,0.00,0.00,1563.84
0.00,0.00,0.00,1563.87
0.00,0.00,0.00,1563.90
0.00,0.00,0.00,1563.94
0.00,0.00,0.00,1563.97
0.00,0.00,0.00,1564.00
0.00,0.00,0.00,1564.03
0.00,0.00,0.00,1564.07
0.00,0.00,0.00,1564.10
0.00,0.00,0.00,1564.13
0.00,0.00,0.00,1564.17
0.00,0.00,0.00,1564.20
12.65,0.00,0.00,1564.23
28.60,0.00,0.00,1564.26
38.10,0.00,0.00,1564.30
49.99,0.00,0.00,1564.33
61.97,0.00,0.00,1564.36
76.42,0.00,0.00,1564.40
80.00,0.00,0.00,1564.43
80.00,9.99,0.00,1564.46
80.00,26.72,0.00,1564.49
80.00,40.22,0.00,1564.53
80.00,50.80,0.00,1564.56
80.00,55.73,0.00,1564.59
80.00,65.20,0.00,1564.63
80.00,72.44,0.00,1564.66
80.00,81.69,0.00,1564.69
80.00,89.85,0.00,1564.72
80.00,92.54,0.00,1564.76
80.00,93.46,0.00,1564.79
80.00,95.31,0.00,1564.82
80.00,98.15,0.00,1564.86
80.00,103.00,0.57,1564.89
80.00,103.00,20.71,1564.92
80.00,103.00,22.75,1564.96
80.00,103.00,27.09,1564.99
80.00,103.00,31.23,1565.02
80.00,103.00,36.58,1565.06
80.00,103.00,40.59,1565.09
80.00,103.00,45.61,1565.12
80.00,103.00,50.98,1565.16
80.00,103.00,54.21,1565.19
80.00,103.00,59.01,1565.22
80.00,103.00,62.63,1565.25
80.00,103.00,64.99,1565.29
80.00,103.00,67.38,1565.32
