Joint_3,Joint_2,Joint_1,time
0.00,0.00,0.00,1.95
4.37,0.00,0.00,1.95
5.60,0.00,0.00,1.95
7.62,0.00,0.00,1.96
9.37,0.00,0.00,1.96
12.51,0.00,0.00,1.96
15.41,0.00,0.00,1.97
18.18,0.00,0.00,1.97
20.89,0.00,0.00,1.97
24.22,0.00,0.00,1.98
26.86,0.00,0.00,1.98
29.49,0.00,0.00,1.98
32.78,0.00,0.00,1.99
36.07,0.00,0.00,1.99
38.71,0.00,0.00,2.00
42.03,0.00,0.00,2.00
45.38,0.00,0.00,2.00
48.08,0.00,0.00,2.01
51.49,0.00,0.00,2.01
54.25,0.00,0.00,2.02
49.66,0.00,0.00,2.02
53.27,0.00,0.00,2.02
55.70,0.00,0.00,2.03
59.40,0.00,0.00,2.03
60.65,0.00,0.00,2.03
62.53,0.00,0.00,2.04
65.72,0.00,0.00,2.04
68.31,0.00,0.00,2.05
69.61,0.00,0.00,2.05
71.59,0.00,0.00,2.05
74.27,0.00,0.00,2.06
76.32,0.00,0.00,2.06
78.38,0.00,0.00,2.06
81.19,0.00,0.00,2.07
84.78,0.00,0.00,2.07
86.25,0.00,0.00,2.08
88.48,0.00,0.00,2.08
91.52,0.00,0.00,2.08
93.86,0.00,0.00,2.09
97.06,0.00,0.00,2.09
102.00,0.00,0.00,2.09
102.00,0.00,0.00,2.10
102.00,0.00,0.00,2.10
102.00,0.00,0.00,2.11
102.00,0.00,0.00,2.11
102.00,0.00,0.00,2.11
102.00,0.00,0.00,2.12
102.00,0.00,0.00,2.12
102.00,2.25,0.00,2.13
102.00,3.53,0.00,2.13
102.00,4.09,0.00,2.13
102.00,4.88,0.00,2.14
102.00,5.39,0.00,2.14
102.00,6.37,0.00,2.15
102.00,7.32,0.00,2.15
102.00,7.56,0.00,2.15
102.00,7.56,0.00,2.16
102.00,7.79,0.00,2.16
102.00,7.79,0.00,2.16
102.00,8.03,0.00,2.17
102.00,8.49,0.00,2.17
102.00,8.95,0.00,2.18
102.00,9.64,0.00,2.18
102.00,10.55,0.00,2.18
102.00,11.90,0.00,2.19
102.00,13.03,0.00,2.19
102.00,14.59,0.00,2.20
102.00,15.93,0.00,2.20
102.00,17.27,0.00,2.20
102.00,19.05,0.00,2.21
102.00,20.83,0.00,2.21
102.00,21.94,0.00,2.22
102.00,23.06,0.00,2.22
102.00,24.18,0.00,2.23
102.00,25.29,0.00,2.23
102.00,25.97,0.00,2.23
102.00,27.31,0.00,2.24
102.00,28.66,0.00,2.24
102.00,30.01,0.00,2.25
