Joint_3,Joint_2,Joint_1,time
0.00,0.00,0.00,2.04
1.11,0.00,0.00,2.05
2.66,0.00,0.00,2.05
4.44,0.00,0.00,2.05
5.74,0.00,0.00,2.06
7.03,0.00,0.00,2.06
8.31,0.00,0.00,2.06
9.58,0.00,0.00,2.07
10.01,0.00,0.00,2.07
11.71,0.00,0.00,2.07
12.13,0.00,0.00,2.08
12.98,0.00,0.00,2.08
13.40,0.00,0.00,2.09
14.25,0.00,0.00,2.09
15.53,0.00,0.00,2.09
17.23,0.00,0.00,2.10
18.93,0.00,0.00,2.10
21.50,0.00,0.00,2.10
23.64,0.00,0.00,2.11
25.36,0.00,0.00,2.11
26.66,0.00,0.00,2.12
28.39,0.00,0.00,2.12
30.12,0.00,0.00,2.12
30.99,0.00,0.00,2.13
31.87,0.00,0.00,2.13
32.30,0.00,0.00,2.13
33.18,0.00,0.00,2.14
34.06,0.00,0.00,2.14
34.50,0.00,0.00,2.15
34.94,0.00,0.00,2.15
35.82,0.00,0.00,2.15
36.70,0.00,0.00,2.16
37.59,0.00,0.00,2.16
38.48,0.00,0.00,2.16
40.26,0.00,0.00,2.17
42.51,0.00,0.00,2.17
44.77,0.00,0.00,2.17
45.68,0.00,0.00,2.18
46.59,0.00,0.00,2.18
47.97,0.00,0.00,2.19
48.89,0.00,0.00,2.19
49.81,0.00,0.00,2.19
50.74,0.00,0.00,2.20
52.14,0.00,0.00,2.20
52.61,0.00,0.00,2.20
53.54,0.00,0.00,2.21
54.49,0.00,0.00,2.21
55.91,0.00,0.00,2.22
57.34,0.00,0.00,2.22
59.26,0.00,0.00,2.22
61.20,0.00,0.00,2.23
62.67,0.00,0.00,2.23
64.65,0.00,0.00,2.24
65.15,0.00,0.00,2.24
66.15,0.00,0.00,2.24
66.65,0.00,0.00,2.25
67.15,0.00,0.00,2.25
67.66,0.00,0.00,2.25
68.67,0.00,0.00,2.26
70.20,0.00,0.00,2.26
70.72,0.00,0.00,2.27
71.23,0.00,0.00,2.27
72.27,0.00,0.00,2.27
74.36,0.00,0.00,2.28
75.42,0.00,0.00,2.28
77.56,0.00,0.00,2.28
78.64,0.00,0.00,2.29
80.28,0.00,0.00,2.29
80.83,0.00,0.00,2.29
81.93,0.00,0.00,2.30
83.61,0.00,0.00,2.30
84.74,0.00,0.00,2.31
85.31,0.00,0.00,2.31
85.89,0.00,0.00,2.31
86.46,0.00,0.00,2.32
88.20,0.00,0.00,2.32
89.97,0.00,0.00,2.32
90.56,0.00,0.00,2.33
91.16,0.00,0.00,2.33
92.37,0.00,0.00,2.34
93.59,0.00,0.00,2.34
95.44,0.00,0.00,2.34
97.33,0.00,0.00,2.35
99.26,0.00,0.00,2.35
101.89,0.00,0.00,2.36
102.56,0.00,0.00,2.36
103.23,0.00,0.00,2.36
103.23,0.00,0.00,2.37
103.23,0.00,0.00,2.37
103.91,0.00,0.00,2.37
103.91,0.00,0.00,2.38
104.59,0.00,0.00,2.38
105.28,0.00,0.00,2.39
107.00,0.13,0.00,2.39
107.00,0.38,0.00,2.39
107.00,0.38,0.00,2.40
107.00,0.64,0.00,2.40
107.00,0.64,0.00,2.41
107.00,0.64,0.00,2.41
107.00,0.64,0.00,2.41
107.00,0.64,0.00,2.42
107.00,0.89,0.00,2.42
107.00,0.89,0.00,2.42
107.00,0.89,0.00,2.43
107.00,1.15,0.00,2.43
107.00,1.40,0.00,2.44
107.00,1.40,0.00,2.44
107.00,1.40,0.00,2.45
107.00,1.40,0.00,2.45
107.00,1.66,0.00,2.45
107.00,1.66,0.00,2.46
107.00,1.66,0.00,2.46
107.00,1.91,0.00,2.46
107.00,1.91,0.00,2.47
107.00,1.91,0.00,2.47
107.00,2.16,0.00,2.48
107.00,2.16,0.00,2.48
107.00,2.42,0.00,2.48
107.00,2.42,0.00,2.49
107.00,2.67,0.00,2.49
107.00,2.93,0.00,2.50
107.00,3.18,0.00,2.50
107.00,3.18,0.00,2.50
107.00,3.44,0.00,2.51
107.00,3.44,0.00,2.51
107.00,3.44,0.00,2.51
107.00,3.69,0.00,2.52
107.00,3.95,0.00,2.52
107.00,3.95,0.00,2.53
107.00,3.95,0.00,2.53
