Joint_3,Joint_2,Joint_1,time
0.00,0.00,0.00,0.16
2.58,0.00,0.00,0.16
4.17,0.00,0.00,0.16
6.20,0.00,0.00,0.17
7.70,0.00,0.00,0.17
9.19,0.00,0.00,0.17
12.17,0.00,0.00,0.18
13.65,0.00,0.00,0.18
15.63,0.00,0.00,0.19
17.61,0.00,0.00,0.19
19.60,0.00,0.00,0.19
21.59,0.00,0.00,0.20
23.09,0.00,0.00,0.20
25.09,0.00,0.00,0.20
27.11,0.00,0.00,0.21
29.63,0.00,0.00,0.21
31.15,0.00,0.00,0.22
32.68,0.00,0.00,0.22
34.21,0.00,0.00,0.22
35.24,0.00,0.00,0.23
36.26,0.00,0.00,0.23
38.33,0.00,0.00,0.23
36.26,0.00,0.00,0.24
37.19,0.00,0.00,0.24
38.59,0.00,0.00,0.24
40.93,0.00,0.00,0.25
43.30,0.00,0.00,0.25
45.20,0.00,0.00,0.26
46.15,0.00,0.00,0.26
47.60,0.00,0.00,0.26
48.56,0.00,0.00,0.27
50.02,0.00,0.00,0.27
50.99,0.00,0.00,0.27
52.95,0.00,0.00,0.28
54.43,0.00,0.00,0.28
55.92,0.00,0.00,0.29
56.42,0.00,0.00,0.29
58.43,0.00,0.00,0.29
59.95,0.00,0.00,0.30
61.48,0.00,0.00,0.30
62.51,0.00,0.00,0.30
63.55,0.00,0.00,0.31
65.63,0.00,0.00,0.31
66.16,0.00,0.00,0.32
66.68,0.00,0.00,0.32
66.68,0.00,0.00,0.32
66.68,0.00,0.00,0.33
67.21,0.00,0.00,0.33
67.74,0.00,0.00,0.34
67.74,0.00,0.00,0.34
68.27,0.00,0.00,0.34
69.34,0.00,0.00,0.35
70.95,0.00,0.00,0.35
72.00,0.00,0.00,0.35
72.00,0.00,0.00,0.36
72.00,0.00,0.00,0.36
72.00,3.08,0.00,0.36
72.00,5.24,0.00,0.37
72.00,6.92,0.00,0.37
72.00,8.56,0.00,0.37
72.00,10.19,0.00,0.38
72.00,11.15,0.00,0.38
72.00,12.44,0.00,0.39
72.00,14.05,0.00,0.39
72.00,15.01,0.00,0.40
72.00,15.97,0.00,0.40
72.00,17.58,0.00,0.40
72.00,19.18,0.00,0.41
72.00,21.75,0.00,0.41
72.00,23.04,0.00,0.41
72.00,24.33,0.00,0.42
72.00,25.63,0.00,0.42
72.00,27.90,0.00,0.43
72.00,28.55,0.00,0.43
72.00,29.53,0.00,0.44
72.00,31.16,0.00,0.44
72.00,32.80,0.00,0.44
72.00,33.79,0.00,0.45
72.00,35.11,0.00,0.45
72.00,35.77,0.00,0.45
72.00,37.09,0.00,0.46
72.00,39.09,0.00,0.46
72.00,40.43,0.00,0.47
72.00,41.78,0.00,0.47
72.00,42.12,0.00,0.47
72.00,43.47,0.00,0.48
72.00,44.83,0.00,0.48
72.00,46.19,0.00,0.49
72.00,47.57,0.00,0.49
72.00,48.60,0.00,0.49
72.00,49.64,0.00,0.50
72.00,51.73,0.00,0.50
72.00,52.78,0.00,0.50
72.00,53.84,0.00,0.51
72.00,55.61,0.00,0.51
72.00,57.39,0.00,0.52
72.00,58.47,0.00,0.52
72.00,59.20,0.00,0.52
72.00,59.56,0.00,0.53
72.00,60.28,0.00,0.53
72.00,61.38,0.00,0.54
72.00,62.85,0.00,0.54
72.00,64.70,0.00,0.54
72.00,66.20,0.00,0.55
72.00,67.33,0.00,0.55
72.00,69.61,0.00,0.56
72.00,70.38,0.00,0.56
72.00,71.54,0.00,0.56
72.00,73.10,0.00,0.57
72.00,74.67,0.00,0.57
72.00,76.26,0.00,0.57
72.00,76.66,0.00,0.58
72.00,77.87,0.00,0.58
72.00,79.09,0.00,0.59
72.00,80.32,0.00,0.59
72.00,81.56,0.00,0.60
