Joint_3,Joint_2,Joint_1,time
5.70,0.00,0.00,0.03
36.73,0.00,0.00,0.07
62.51,0.00,0.00,0.10
72.00,0.00,0.00,0.13
72.00,19.45,0.00,0.16
72.00,44.10,0.00,0.19
72.00,65.77,0.00,0.22
72.00,88.76,0.00,0.26
72.00,89.00,0.00,0.29
72.00,89.00,8.94,0.32
72.00,89.00,33.69,0.35
72.00,89.00,45.29,0.38
72.00,89.00,58.42,0.42
72.00,89.00,61.50,0.45
72.00,89.00,61.76,0.48
72.00,89.00,61.76,0.51
72.00,89.00,61.76,0.54
72.00,89.00,61.76,0.58
72.00,89.00,61.76,0.61
72.00,89.00,61.76,0.64
72.00,89.00,62.02,0.67
72.00,89.00,61.76,0.70
72.00,89.00,61.76,0.74
72.00,89.00,61.76,0.77
72.00,89.00,62.02,0.80
72.00,89.00,61.76,0.83
72.00,89.00,61.76,0.86
72.00,89.00,61.76,0.90
